district_id,city_id,region_id,name_ar,name_en
1,6145,4,العليا,Al Olaya
2,6145,4,المرقب,The Morqob
3,6145,4,رامات,Ramah
4,6145,4,الروضة,Ar Rawdah
5,6145,4,العبيلة,Al Olaya
6,6145,4,الأندلس,Andalus
7,6145,4,الريان,Ar Rayyan
8,6145,4,القبعية,Al-Qubaiyah
9,6145,4,المنار,Al Manar
10,6145,4,أم تلعة,Um Tala'a
11,3295,4,النهضة,Al Nahda
12,3295,4,المنار,Al Manar
13,3295,4,الخليج,Al Khaleej
14,3295,4,الريان,Al Riyan
15,3295,4,الملك فهد,King Fahd District
16,14254,4,الديرة,Ad Dirah
17,14254,4,الزهرة,Al Zahra
18,14254,4,الياسمين,Al Yasmin
19,6145,4,الدحلة,The Dalhah
20,6145,4,قرطبة,Qurtubah
21,6145,4,الأصفر,The Yellow
22,6145,4,السليمانية,Al Sulimaniyah
23,6145,4,المنتزة,The District
24,6145,4,الرواد,The Rawd
25,6145,4,الإسكان,Al-Iskan
26,6145,4,النسيم,Al-Naseem
27,6145,4,الندى,Al Nada
28,6145,4,السلام,The Peace
29,6145,4,إشبيلية,Ishbiliya
30,14254,4,الجامعة,The University
31,14254,4,البديعة,Al Badeah
32,14254,4,المنتزة,Al-Muntazah
33,14254,4,النخيل,The Palms
34,14254,4,المجد,Al Majd
35,14254,4,الربيع,Ar Rabie
36,14254,4,البساتين,Al-Basateen
37,6145,4,الخليج,The Gulf
38,6145,4,النهضة,Al Nahda
39,14254,4,القادسية,Al-Qadisiyah
40,14254,4,النهضة,Al Nahda
41,14254,4,البيضاء,Al Bada'a
42,14254,4,الربوة,The Rabwah
43,14254,4,الصناعية,Al-Sanaiyah
44,14254,4,الأمل,Al-Amal
45,14254,4,الصفاء,Al-Safwa
46,14254,4,الصحة,Al-Sahah
47,14254,4,الريان,Ar Rayyan
48,14254,4,السلام,The Peace
49,11882,4,المنطقة الصناعية,Industrial Area
50,11882,4,النهضة,Al Nahda
51,11882,4,النزهة,Al Nuzha
52,11882,4,الأفق,The Horizon
53,11882,4,أوثال,Outhal
54,11882,4,شرق أوثال,Othaim East
55,11882,4,غرب أوثال,West Othman
56,11951,4,الربوة,The Rabwah
57,11951,4,النور,The Light
58,11951,4,الروضة,Ar Rawdah
59,14254,4,الرياض,Riyadh
60,11951,4,الهجرة,Al-Hijrah
61,11951,4,القادسية,Al-Qadisiyah
62,11951,4,المنتزة,Al-Muntazah
63,11951,4,السلام,The Peace
64,11951,4,الريان,Ar Rayyan
65,2094,4,الروابي,The Meadows
66,2094,4,غرناطة,Gharnatah
67,2094,4,المحمدية,Al-Mohammadiyah
68,2094,4,مركز المطيوي,Al Mutaywi
69,2094,4,قرية الرمثية,Al Ramthiya
70,12536,13,الأندلس,Andalus
71,12536,13,الشروق,Al Shurooq
72,12536,13,النهضة,Al Nahda
73,12536,13,غطي,Ghate
74,12536,13,النزهة,Al Nuzha
75,12536,13,النرجس,The Narcissus
76,12536,13,النفل,An-Nafil
77,12536,13,الريحان,Al Rayhan
78,12536,13,الهدا,Al-Hada
79,12536,13,الرفاع,Al-Rawda
80,12536,13,العقيلة الشمالية,Al Oqayliah North
81,12536,13,النخيل,The Palms
82,12536,13,الدعبوسية,Ad Dubussiya
83,12536,13,الزيتون,Al-Zaytoun
84,12536,13,الزمرد,Al Zamrud
85,12536,13,المروج,Al-Murooj
86,12536,13,الشفاء,Al-Shifa
87,12536,13,حصيدة,Haseeda
88,12536,13,العزيزية,Al Aziziyah
89,12536,13,الملك فهد,Al Malak Fahd
90,12536,13,الواحة,Al Wahah
91,12536,13,الصناعية,Al-Sanaiyah
92,12536,13,الفرسان,Al-Fursan
93,12536,13,غرناطة,Gharnatah
94,12536,13,التلال,At-Talal
95,12536,13,البادية,Al Badiyah
96,12536,13,المنار,Al Manar
97,12536,13,الأمير عبدالاله بن عبدالعزيز,Al Amireyah
98,12536,13,الورود,Al-Wurud
99,12536,13,الصفاء,Al-Safwa
100,12536,13,الأمل,Al-Amal
101,12536,13,الندى,An Nada
102,12536,13,الياسمين,Al Yasmin
103,12536,13,الرسالة,The Message
104,12548,13,الفيصلية,Al-Faisaliyah
105,12548,13,الأندلس,Andalus
106,12548,13,الربوة,The Rabwah
107,12548,13,العزيزية,Al Aziziyah
108,12548,13,المنار,Al Manar
109,12548,13,الجوهرة,The Jewel
110,12548,13,البستان,Al Bustan
111,12209,13,النفل,An-Nafil
112,12209,13,النخيل,The Palms
113,12209,13,الشعلة,Al Shalhah
114,12209,13,الزهور,Al Zahoor
115,12209,13,الحزم,Al-Hazm
116,12209,13,النظيم,An Nazim
117,6145,4,البساتين,Al-Basateen
118,6145,4,العبدلية,Al-Abdaliyah
119,6145,4,الفيصلية,Al-Faisaliyah
120,6145,4,الجامعة,The University
121,11882,4,الرفيعة,Al-Rafiah
122,11882,4,المنتزة,Al-Muntazah
123,11882,4,المرقب,The Morqob
124,11882,4,غاف الجواء,Ghaff Aljawah
125,11882,4,روض الجواء,Rawd Al-Jawwa
126,12195,13,الدانة,Al Dana
127,12195,13,البوادي,Al Boudai
128,12195,13,الصناعي,Al-Sanai
129,12195,13,الشفاء,Al-Shifa
130,12195,13,الغدير,Al Ghadeer
131,12195,13,الجوهرة,The Jewel
132,12195,13,المصيف,Al-Musayyif
133,12234,13,الهدا,Al-Hada
134,12209,13,المروة,Al-Murwah
135,12209,13,النزهة,Al Nuzha
136,12209,13,الخالدية,Al Khalidiyah
137,12209,13,الزيتون,Al-Zaytoun
138,12209,13,الروابي,The Meadows
139,12209,13,الخزامى,Al Khuzama
140,12209,13,الربيع,Ar Rabie
141,12234,13,التلال,At-Talal
142,12532,13,العزيزية,Al Aziziyah
143,12532,13,الشعلة,Al Shalhah
144,12532,13,البديعة,Al Badeah
145,12532,13,الصالحية,Al-Salehiyah
146,12532,13,الزهور,Al Zahoor
147,12532,13,النور,The Light
148,12532,13,النخيل,The Palms
149,12209,13,الجوهرة,The Jewel
150,12209,13,الواحة,Al Wahah
151,12209,13,السلام,The Peace
152,12209,13,المنتزة,The District
153,12209,13,الشفاء,Al-Shifa
154,12209,13,الورود,Al-Wurud
155,11951,4,الصفاء,Al-Safwa
156,12209,13,الربوة,The Rabwah
157,12209,13,حدرج,Hadraj
158,12209,13,العزيزية,Al Aziziyah
159,12234,13,الريان,Ar Rayyan
160,12234,13,النزهة,Al Nuzha
161,12234,13,الربوة,The Rabwah
162,12195,13,التحكيم,Al-Tahkim
163,12195,13,غرب دومة الجندل,West Dumat Al-Jandal
164,12195,13,الغربي,Al Ghurabi
165,12195,13,الوادي والبحيرات,The Valley and Lakes
166,12195,13,الصفاة,Al Safah
167,12195,13,الملك فهد,Al Malak Fahd
168,12195,13,خذماء,Khobar
169,12195,13,العزيزية,Al Aziziyah
170,12195,13,الملك عبدالعزيز,King Abdulaziz
171,12195,13,الخالدية,Al Khalidiyah
172,12195,13,المروج,Al-Murooj
173,12234,13,الفيصلية,Al-Faisaliyah
174,12234,13,العزيزية,Al Aziziyah
175,12195,13,أصفان,Asfan
176,12195,13,السلام,The Peace
177,12195,13,الرديفة والرافعية,Ar-Rawdah and Ar-Rafiah
178,12532,13,الجوهرة,The Jewel
179,12532,13,الغروب,The West
180,12532,13,الصناعية,Al-Sanaiyah
181,12532,13,النهضة,Al Nahda
182,12532,13,الفرسان,Al-Fursan
183,12532,13,العروبة,Al Aroobah
184,12532,13,الشفاء,Al-Shifa
185,12209,13,النسيم,Al-Naseem
186,12209,13,الصفاء,Al Safa
187,12532,13,الياسمين,Al Yasmin
188,12532,13,الطوير,Al-Tuwair
189,12532,13,سلطانة,Sultana
190,12532,13,الضاحية,The Suburb
191,12532,13,الشعيب,Al-Shuayb
192,12532,13,الروابي,The Meadows
193,12532,13,الفيصلية,Al-Faisaliyah
194,12532,13,المطر,Al-Matar
195,12532,13,الرواد,The Rawd
196,12532,13,أحد,One
197,12532,13,الورود,Al-Wurud
198,12532,13,السلام,The Peace
199,12532,13,السوق,The Market
200,12532,13,الشلهوب,Al Shulhoub
201,12532,13,الرحمانية,Al-Rahmaniya
